中文,英文,说明
阿德莱德山区,Adelaide Hills,南澳产区，主要产长相思和霞多丽
阿尔巴利诺,Albariño,
阿尔萨斯,Alsace,
阿尔萨斯特级园,Alsace Grand Cru,
阿玛罗尼,Amarone,
阿蒙提拉多,Amontillado,一种Sherry，属于酒花陈年过程中失败了 又加入了酒精后进行无酒花陈年，形成的雪利酒
法定产区命名葡萄酒,Appellation d'Origine Contrôlée (AOC) wines,注：一般法国法定产区命名葡萄酒常用AOC表示，在其他国家可能有不同表述，如意大利的DOC、西班牙的DO等，这里以法国常见表述举例
法定产区保护葡萄酒,Protected Designation of Origin (PDO) wines,
阿斯蒂,Asti,
逐串精选,Auslese,
巴巴列斯科,Barbaresco,意大利西北部，主要产内比奥洛 红葡萄 单宁高 酸度高，具有玫瑰花香和红过味道，以及干草药 可以陈年
巴贝拉,Barbera,红葡萄品种 单宁低到中 酸度高
阿斯蒂的巴贝拉,Barbera d'Asti,
巴罗洛,Barolo,意大利西北部
巴罗萨谷,Barossa Valley,南澳产区，主要生产赛美容、歌海娜、西拉
博若莱,Beaujolais,法国产区，主要生产佳美，佳美生活在温和产区，单宁低到中，酸度高
博若莱特级村庄级,Beaujolais Cru,
博若莱村庄,Beaujolais Villages,
博讷,Beaune,法国勃艮第地区南部，主要生产黑皮诺，黑皮诺生活在温和和凉爽的地区，单宁低，酸度高还有霞多丽白葡萄 生活在凉爽 温和 和温暖的地区，酿造干型葡萄酒，酸度中到高，陈年后有榛子和蘑菇味道
逐粒精选,Beerenauslese,
波尔多,Bordeaux,
优级波尔多,Bordeaux Superieur,
勃艮第,Burgundy/Bourgogne,
蒙达奇诺的巴内罗,Brunello di Montalcino,意大利产区，主要生产桑娇维塞，酸度高，单宁高，具有红果和干草药的味道
天然,Brut,
赤霞珠,Cabernet Sauvignon,红葡萄，生活在温暖和温和的地区，单宁高，酸度高，具有黑果的味道，适合陈年多混酿或者单一，另外年轻的赤霞珠会有薄荷和青椒的味道
加利福尼亚,California,
卡里斯托加,Calistoga,Napa县下面的城市
开普混酿,Cape Blend,
佳美娜,Carmenere,生活在温暖地区的红葡萄，单宁高，酸度中到高，是智利的葡萄品种，黑色水果和草本植物，通常会陈年
卡内罗斯,Carneros,是黑皮诺 霞多丽的产区
卡萨布兰卡谷,Casablanca Valley,在智利，是黑皮诺 霞多丽长相思的产区
加泰罗尼亚,Catalonia,西班牙
卡瓦,cava,西班牙产区，常用来酿造传统气泡葡萄酒
中奥塔哥,Central Otago,新西兰的产区 在南部，有黑皮诺
中央山谷,Central Valley,智利产区，在南部，有赤霞珠、梅洛、霞多丽
夏布利,Chablis,
香槟,CHampagne,
霞多丽,Chardonnay,
新教皇堡,Chateauneuf-du-Pape,法国罗讷河南产区
白诗南,Chenin Blanc,
基安蒂,Chianti,
经典基安蒂,Chianti Classico,
克莱尔谷,Clare Valley,
经典,Classico,
科尔察瓜谷,Colchagua Valley,
孔德里约,Condrieu,
康斯坦提亚,Constantia,
卡纳瓦拉,CoonaWarra,
柯蒂斯,Cortese,
科维纳,Corvina,
罗第丘,Cote-Rotie,
隆河丘,Cote du Rhone,
隆河丘村庄,Cote du Rhone Village,
奶油雪莉,Cream Sherry,
陈酿,Crianza,
克罗兹-埃米塔日,Croze-Hermitage,
中级庄,Cru Bourgeois,仅限于梅克多地区
半干,Demi-Sec,
法定产区葡萄酒,DO,
优质法定产区葡萄酒 ,DOCa,
法定产区葡萄酒,DOC,
优质法定产区葡萄酒 ,DOCG,
伊顿谷,Eden Valley,
冰酒,Eiswein,
埃尔金,Elgin,
菲亚诺,Fiano,
阿维利诺菲亚诺,FIano di Avellino,
菲奴,Fino (sherry),
弗勒里,Fleurie,法国 佳美产区
弗留利-威尼斯-朱莉亚,Friuli-Venezia Giulia,
福明特,Furmint,
佳美,Gamay,
卡尔卡耐卡,Garganega,
加维,Gavi,
地理标志保护标签,GI,
哲维瑞-香贝丹,Gevrey-Chambertin,
琼瑶浆,Gewuztraminer,
格雷拉,Glera,
特级珍藏,Gran Reserva,
特级园,Grand Cru,
列级名庄,Grand Cru Classe,
半干,Halbtrocken,
歌海娜,Grenache,
格拉夫,Graves,
上梅多克,Haut-Medoc,
霍克湾,Hawke's bay,
埃米塔日,Hermitage,
猎人谷,Hunter Valley,
冰酒,Icewine,
地理标志保护,IGP,
地区葡萄酒,IGT,
新酒,Joven,
珍藏 ,Kabinett,
地区餐酒,Landwein,
晚装瓶年份波特,Late Bottled Vintage,
马贡,Macon,
迈坡谷,Maipo Valley,
马尔贝克,Malbec,
玛格丽特河,Margaret River,
玛歌,Margaux,
马尔堡,Malborough,
马丁堡,Martinborough,
麦克拉伦谷,Mclaren Vale,
中等雪莉,Medium Sherry,
梅多克,Medoc,
梅洛,Merlot,
门多萨,Mendoza,
传统工艺（南非）,Methode cap Classique,类似香槟酒的制造工艺
莫尼耶,Meunier,
莫尔索,Mersault,
米内瓦,Minervois,
莫宁顿半岛,Mornington Peninsula,
莫斯卡托,Moscato,
摩泽尔,Mosel,
麝香葡萄,Muscat,
纳帕谷,Napa Valley,
内比奥罗,Nebbiolo,
无年份,Non-vintage,
尼伊-圣乔治,Nuit-Saint-Grorges,夜圣乔治
奥克维尔,Oakville,美国纳帕县下面的一个生产赤霞珠的产区AVA
奥罗露索,Oloroso,氧化型陈年
波亚克,Pauillac,
原产地保护标签,PDO,
佩萨克-雷奥良,Pessac-Leognan,法国波尔多大区 下的小产区生成赤霞珠和长相思
法尔滋,Pfalz,法国产区
地区葡萄酒,PGI ,
灰皮诺 ,Pinot Grigio,意大利
灰皮诺,Pinot Gris,
皮诺塔吉,Pinotage,南非 西开普省
黑皮诺,Pinot Noir,
波美猴,Pomerol,
勃马赫,Pommard,法国勃艮第夜丘
波特,Port,
普伊富美,Pouilly Fume,卢瓦尔河谷 长相思产区
普伊富赛,Pouilly Fusse,法国勃艮第产区 马贡的霞多丽
特级优质葡萄酒,Pradikatswein,
一级园,Premier Cru,
普拉米迪奥,Primitivo,
普洛赛克,Prosecco,
普里亚,Puglia,
布里尼-蒙哈榭,Puligny-Montrachet,法国勃艮第博讷丘产区 霞多丽
佩德罗-西门内,PX,
雷乔托,Recioto,
珍藏,Reserva,
优质葡萄酒,Qualitatswein,
珍藏宝石红波特酒,Reserva Ruby,
莱茵高,Rheingau,
下海湾,Rias Baixas,
杜埃罗河岸,Ribera del Duero,波特酒
雷司令,Riesling,
里奥哈,Rioja,
珍藏,Riserva,
宝石红,Ruby,
罗斯福,Rutherford,
圣埃美隆,Saint-Emillon,
桑塞尔,Sancerre,法国卢瓦尔河谷 长相思产区
桑娇维塞,Sangiovese,意大利基安蒂产区红葡萄品种，具有干草药的味道 红果高酸高单宁 通常混酿
圣巴巴拉郡,Santa Barbara County,
苏玳,Sauternes,在法国波尔多产区，多赛美容
长相思,Sauvignon Blanc,
雪莉,Sherry,
西拉子,Shiraz,
索阿维,Soave,意大利卡尔卡耐卡白葡萄产区
经典索阿维,Soave Classico,
索诺玛,Sonoma,
东南澳大利亚,South Eastern Australia,
晚收,Spatlese,
斯泰伦博斯,Stellenbosch,南非产区生产赤霞珠和梅洛
西拉,Syrah,
茶色波特,Tawny port,
丹魄,Tempranillo,西班牙
托卡伊,Tokaji,
都兰,Touraine,
干,Trocken,
贵腐果粒精选葡萄酒,Trockenbeerenauslese,
瓦尔波利切拉,Valpolicella,
经典瓦尔波利切拉,Valpolicella Classico,
地区葡萄酒,VDP,
威尼托,Veneto ,
维迪奇诺,Verdicchio,
杰西城堡的维迪奇诺,Verdicchio dei Castelli di Jesi,
乡村餐酒,Vino de la Tierra,
地区餐酒,Vins de Pays,
维欧尼,Viognier,法国罗讷河北部孔德里约
武弗雷,Vouvray,法国卢瓦尔河谷白诗南产地
沃克湾,Walker Bay,南非产区 黑皮诺和霞多丽
西开普,Western Cape,
雅拉谷,Yarra Valley,
仙粉黛,Zinfandel,